COUNT    | Process Argument
       1 | process.args:("?:\\*.bat", "?:\\*.cmd"))
       1 | process.args:("?:\\users\\*\\downloads\\*.htm*", "?:\\users\\*\\content.outlook\\*.htm*", "?:\\users\\*\\appdata\\local\\temp\\temp?_*.htm*", "?:\\users\\*\\appdata\\local\\temp\\7z*.htm*", "?:\\users\\*\\appdata\\local\\temp\\rar$*.htm*")
       1 | process.args:("??:\\program files\\npcap\\checkstatus.bat?", "?:\\program files\\npcap\\checkstatus.bat", "\\system32\\cleanmgr.exe", "?:\\windows\\system32\\silcollector.cmd", "\\system32\\apphostregistrationverifier.exe", "\\system32\\servermanagerlauncher.exe", "dir", "?:\\program files\\*", "?:\\program files (x86)\\*", "?:\\windows\\lsdeployment\\lspush.exe", "(x86)\\fmauditonsite\\watchdog.bat", "?:\\programdata\\chocolatey\\bin\\choco-upgrade-all.bat", "files\\npcap\\checkstatus.bat") and /* very noisy pattern - bat
       1 | process.args:("?decode", "?encode", "?urlcache", "?verifyctl", "?encodehex", "?decodehex")
       1 | process.args:("?decode", "?encode")
       1 | process.args:(".bash_history", "/root/.bash_history", "/home/*/.bash_history","/users/.bash_history", "/users/*/.bash_history", ".zsh_history", "/root/.zsh_history", "/home/*/.zsh_history", "/users/.zsh_history", "/users/*/.zsh_history"))
       1 | process.args:(".bash_history", "/root/.bash_history", "/home/*/.bash_history"))
       1 | process.args:("*-exclusion*")
       1 | process.args:("*/dev/tcp/*", "*/dev/udp/*", "*zsh/net/tcp*", "*zsh/net/udp*") and /* noisy fps */ not (process.parent.name:"timeout" and process.executable:"/var/lib/docker/overlay*")
       1 | process.args:("*/dev/tcp/*", "*/dev/udp/*", "zsh/net/tcp", "zsh/net/udp")
       1 | process.args:("*\\ntds.dit", "*\\config\\sam", "\\*\\globalroot\\device\\harddiskvolumeshadowcopy*\\*")
       1 | process.args:("*add-mppreference*", "*set-mppreference*")
       1 | process.args:("*consolehost_history.txt*", "*(get- psreadlineoption).historysavepath*"))
       1 | process.args:("*get-wmiobject*", "*gwmi*", "*get-ciminstance*", "*gcim*")
       1 | process.args:("*public*", "*domain*", "*private*")
       1 | process.args:("*remove- item*", "rm")
       1 | process.args:("/active directory/*", "/users*", "/groups*")
       1 | process.args:("/create" or "-create" or "/s" or "-s" or "/run" or "-run" or "/change" or "-change")
       1 | process.args:("/e:false")
       1 | process.args:("/e:false", "cl", "clear-log"))
       1 | process.args:("/etc/hosts")
       1 | process.args:("/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2", "/etc/ld.so.preload")] [file where event.action:"creation" and file.extension:"so"
       1 | process.args:("/library/keychains/" or "/network/library/keychains/" or "~/library/keychains/")
       1 | process.args:("/private/var/db/systemkey" or "/var/db/systemkey")
       1 | process.args:("/ru", "/sc", "/tn", "/tr", "/f", "/xml") and /* exclude system integrity level - look for task creations by non-system user */ not (?process.ext.token.integrity_level_name:"system"
       1 | process.args:("/ru", "/sc", "/tn", "/tr", "/f", "/xml") and /* exclude system integrity level - look for task creations by non-system user */ not (process.ext.token.integrity_level_name:"system")
       1 | process.args:("/system/library/extensions/endpointsecurity.kext" or "endpointsecurity.kext")
       1 | process.args:("/usr/lib/go-*/bin/go", "/usr/lib/dracut/dracut- functions.sh", "/tmp/ksinstallaction.*/m/.patch/*")
       1 | process.args:("/usr/local/*", "/users/*/github.com/*", "/users/*/src/*")
